Medicine,Brand,Product
Prednisolane 5mg,Vikram labs,Tablet
wysolane 10mg,Pfizer,Tablet
Pulmoclear,Fourrts,Tablet
Qsita DM 500mg,Sitagliptics",HBC
Rantac 150mg,J.B chemicals,Tablet
Rantac 300mg,J.B chemicals,Tablet
Rosuvas EZ 10mg,Emcure,Tablet
Rozavel 40mg,Sun pharma,Tablet
Resodim 15mg,Lupin,Tablet
Roseday-CV 20mg,USV,Tablet
Salazar,Zydus,Tablet
Senasof,wanbury,Tablet
Stiloz-50,Integrace,Tablet
Silofast 8mg,Cipla,Tablet
Syndopa 110,Sun pharma,Tablet
Solvin cold,",Ipca
Sporlac,J.B chemicals & pharma,Tablet
Starpress XL (25),Lupin,Tablet
Stugeron forte,Jassen,Tablet
Susten 200mg,Sun pharma,Tablet
Sysfol,ontop pharma,Tablet
Sompraz D40,Sun pharma,Tablet
Starizo 200mg,Sun pharma,Tablet
Telma 40mg,Glenmark,Tablet
Telista-AM,Lupin,Tablet
Trapic 500mg,HBC,Tablet
Thiamin,Ordain healthcare,Tablet
Torget,Zydus,Tablet
Trihexy,East west pharma,Tablet
Udiliv 150mg,Abbott,Tablet
Udiliv 300mg,Abbott,Tablet
Urimax,Cipla,Tablet
Veltam-F,Intas pharma,Tablet
Vomikind-MD4,mankind,Tablet
Strip vomikind-fast,mankind,Tablet
Vertin 16mg,Abbott,Tablet
Vertin 8mg,Abbott,Tablet
Vasograin,Cadlla,Tablet
Volicure Trio 1./0.3,HBC,Tablet
Vibacat,USV,Tablet
Warf-5mg,Cipla,Tablet
Xygrel 90mg,IntasPharma,Tablet
Zerodol-SP,",Ipca
Zerodol-P,Ipca,Tablet
Zenflox 200mg,mankind,Tablet
Zedott,Torrent pharma,Tablet
Zolfresh 5mg,Abbott,Tablet
Zovirax,GSK,Tablet
Zincovit.CD,multimineral,"
Zyramod25mg,Zydus,Tablet
Zincovit W,multimineral",Apex
